APMC,Commodity,arrivals_in_qtl Seasonality Type,min_price Seasonality Type,max_price Seasonality Type,modal_price Seasonality Type,district_name,state_name
kolhapur,plum,not enough data,not enough data,not enough data,not enough data,kolhapur,maharashtra
pune-manjri,mint,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
sillod-bharadi,soybean,multiplicative,not enough data,not enough data,not enough data,aurangabad,maharashtra
pune-pimpri,parwar,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
pusad,spilt pigeon pea,multiplicative,not enough data,multiplicative,multiplicative,yewatmal,maharashtra
nandgaon,pigeon pea (tur),multiplicative,not enough data,not enough data,not enough data,nasik,maharashtra
washim,mustard,multiplicative,not enough data,not enough data,not enough data,wasim,maharashtra
aurangabad,math (bhaji),multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
ahmednagar,mustard,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
jalgaon,methi (bhaji),multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
achalpur,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
kolhapur,squash gourd,not enough data,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
pulgaon,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,wardha,maharashtra
jalna,bajri,multiplicative,multiplicative,multiplicative,multiplicative,jalna,maharashtra
lakhandur,paddy-unhusked,multiplicative,not enough data,not enough data,not enough data,bhandara,maharashtra
shrirampur,mosambi,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
rahuri-vambori,matki,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
junnar-otur,maize(corn.),not enough data,not enough data,not enough data,not enough data,pune,maharashtra
solapur,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
solapur,kanda pat,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
mauda,green gram,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
dondaicha-sindkheda,maize,multiplicative,not enough data,not enough data,not enough data,dhule,maharashtra
balapur,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,akola,maharashtra
nagpur,coriander  ,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
lohara,bajri,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
umarga,gram,multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
varora,paddy-unhusked,not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
yawal,green gram,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
naigaon,green gram,multiplicative,not enough data,not enough data,not enough data,nanded,maharashtra
karad,ground nut pods (dry),not enough data,not enough data,not enough data,not enough data,satara,maharashtra
barshi,shevga,multiplicative,not enough data,not enough data,not enough data,solapur,maharashtra
tasgaon,green gram,not enough data,not enough data,not enough data,not enough data,sangli,maharashtra
karad,melon,not enough data,not enough data,not enough data,not enough data,satara,maharashtra
lasalgaon-vinchur,black gram,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
arvi,cotton,multiplicative,multiplicative,multiplicative,multiplicative,wardha,maharashtra
atpadi,pomegranate,multiplicative,multiplicative,multiplicative,multiplicative,sangli,maharashtra
ramtek,small gourd,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
lasalgaon-vinchur,soybean,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
kalyan,potato,multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
palghar(bevur),wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
nashik-devlali,methi (bhaji),not enough data,multiplicative,not enough data,not enough data,nasik,maharashtra
partur,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,jalna,maharashtra
ratanagari,cucumber,multiplicative,multiplicative,multiplicative,multiplicative,ratnagiri,maharashtra
barshi,small gourd,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
kamthi,coriander  ,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
kada (ashti),black gram,multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
manmad,green gram,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
lonar,bajri,not enough data,not enough data,not enough data,not enough data,buldhana,maharashtra
tasgaon,bedana,multiplicative,multiplicative,multiplicative,multiplicative,sangli,maharashtra
aurangabad,ground nut pods (dry),multiplicative,not enough data,not enough data,not enough data,aurangabad,maharashtra
pune-moshi,flower,multiplicative,not enough data,multiplicative,multiplicative,pune,maharashtra
varud-rajura bazar,mustard,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
lasalgaon-niphad,green gram,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
nanded,black gram,not enough data,not enough data,not enough data,not enough data,nanded,maharashtra
loha,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,nanded,maharashtra
ramtek,raddish,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
vita,tomato,not enough data,not enough data,not enough data,not enough data,sangli,maharashtra
jalna-badnapur,bajri,multiplicative,multiplicative,multiplicative,multiplicative,jalna,maharashtra
kopargaon,onion,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
pune,bitter gourd,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
gondpimpri,gram,multiplicative,multiplicative,multiplicative,multiplicative,chandrapur,maharashtra
daryapur,wheat(husked),not enough data,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
umared,cotton,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
achalpur,gram,multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
sangamner,mustard,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
aurangabad,carrot,multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
amarawati-fruit and vegetables,chavli (shenga ),not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
pandharpur,cucumber,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
nagpur,pomegranate,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
ambad(vadi godri),black gram,not enough data,not enough data,not enough data,not enough data,jalna,maharashtra
chalisgaon,ladies finger,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
satana,pomegranate,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
gangapur,black gram,not enough data,not enough data,not enough data,not enough data,aurangabad,maharashtra
manchar,green-peas,multiplicative,not enough data,not enough data,not enough data,pune,maharashtra
patan,coriander  ,not enough data,multiplicative,multiplicative,additive,satara,maharashtra
kalamb (os),sunflower,multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
akluj,carrot,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
dhule,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,dhule,maharashtra
kada,maize,multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
jalgaon,bullock heart,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
kalyan,capsicum,multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
mahagaon,soybean,not enough data,not enough data,not enough data,not enough data,yewatmal,maharashtra
pathardi,black gram,not enough data,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
pandharpur,coriander ,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
hingna,soybean,multiplicative,multiplicative,not enough data,not enough data,nagpur,maharashtra
khamgaon,bajri,multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
aurangabad,garlic,multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
ghansawangi,soybean,multiplicative,multiplicative,multiplicative,multiplicative,jalna,maharashtra
nashik,custard apple,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
shirur,ground nut pods (dry),multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
chandrapur,small gourd,not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
latur-murud,black gram,not enough data,not enough data,multiplicative,multiplicative,latur,maharashtra
mumbai-fruit market,custard apple,not enough data,not enough data,not enough data,not enough data,mumbai,maharashtra
kurdwadi-modnimb,maize,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
lakhandur,coriander (dry),not enough data,not enough data,not enough data,not enough data,bhandara,maharashtra
nandgaon,bajri,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
shrigonda,ground nut pods (dry),multiplicative,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
panvel,cluster bean,not enough data,not enough data,not enough data,not enough data,raigad,maharashtra
sangrampur,gram,multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
sironcha,maize,not enough data,not enough data,not enough data,not enough data,gadchiroli,maharashtra
jalgaon,bitter gourd,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
chalisgaon,coriander  ,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
rahuri-vambori,horse gram,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
solapur,mosambi,multiplicative,multiplicative,not enough data,not enough data,solapur,maharashtra
barshi,kharbuj,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
gevrai,maize,multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
khed,cabbage,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
kej,castor seed,not enough data,not enough data,not enough data,not enough data,beed,maharashtra
solapur,chikoo,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
kalamb (os),ground nut pods (dry),not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
sangali,castor seed,not enough data,multiplicative,multiplicative,multiplicative,sangli,maharashtra
sindkhed raja,maize,multiplicative,not enough data,not enough data,not enough data,buldhana,maharashtra
ramtek,bitter gourd,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
navapur,black gram,not enough data,not enough data,not enough data,not enough data,nandurbar,maharashtra
sangrampur-varvatbakal,sesamum,not enough data,not enough data,not enough data,not enough data,buldhana,maharashtra
akhadabalapur,gram,multiplicative,multiplicative,multiplicative,multiplicative,hingoli,maharashtra
kalyan,matki,multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
rahuri,ladies finger,multiplicative,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
vasai,tomato,not enough data,multiplicative,multiplicative,multiplicative,thane,maharashtra
sinner,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
yeola,bajri,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
pandharpur,lemon,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
mangalwedha,black gram,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
amarawati-fruit and vegetables,cabbage,multiplicative,not enough data,not enough data,not enough data,amaravathi,maharashtra
umarga,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
kalyan,gram,multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
shirala,soybean,multiplicative,multiplicative,not enough data,not enough data,sangli,maharashtra
ausa,sunflower,multiplicative,multiplicative,multiplicative,multiplicative,latur,maharashtra
roha,paddy-unhusked,multiplicative,multiplicative,multiplicative,multiplicative,raigad,maharashtra
yawal,black gram,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
jalna,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,jalna,maharashtra
sindkhed raja,soybean,multiplicative,not enough data,not enough data,not enough data,buldhana,maharashtra
chandrapur,chavli (shenga ),not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
dhule,matki,multiplicative,multiplicative,multiplicative,multiplicative,dhule,maharashtra
shrigonda,sunflower,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
shegaon,safflower,additive,not enough data,not enough data,not enough data,buldhana,maharashtra
akkolkot,gram,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
vaijapur,safflower,multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
osmanabad,bottle gourd,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
hingoli,green gram,multiplicative,multiplicative,multiplicative,multiplicative,hingoli,maharashtra
ahmedpur,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,latur,maharashtra
malegaon,green gram,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
savner,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
umared,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
nandgaon,gram,not enough data,multiplicative,not enough data,not enough data,nasik,maharashtra
junnar-otur,ground nut pods (dry),not enough data,not enough data,not enough data,not enough data,pune,maharashtra
palam,sorgum(jawar),not enough data,not enough data,not enough data,not enough data,parbhani,maharashtra
ramtek,zendu,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
chalisgaon,banana,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
lasalgaon,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
mumbai,brinjal,multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
manmad,black gram,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
jamner-neri,cotton,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
akhadabalapur,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,hingoli,maharashtra
umarga,mustard,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
solapur,onion,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
satana,horse gram,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
pune-manjri,chavli (shenga ),multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
lasalgaon,pomegranate,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
kolhapur-laxmipuri,gr.nut kernels,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
sonpeth,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,parbhani,maharashtra
devala,green peas (dry),additive,not enough data,not enough data,not enough data,nasik,maharashtra
babhulgaon,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,yewatmal,maharashtra
akluj,gram,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
pune-pimpri,bitter gourd,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
kada,soybean,multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
vai,cluster bean,multiplicative,multiplicative,not enough data,not enough data,satara,maharashtra
daryapur,sesamum,additive,not enough data,not enough data,not enough data,amaravathi,maharashtra
mangaon(bhadav),rice(paddy-hus),multiplicative,multiplicative,multiplicative,multiplicative,raigad,maharashtra
ahmednagar,potato,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
navapur,rice(paddy-hus),not enough data,not enough data,not enough data,not enough data,nandurbar,maharashtra
sangli-phale bhajipalam,potato,multiplicative,multiplicative,multiplicative,multiplicative,sangli,maharashtra
risod,green gram,multiplicative,not enough data,not enough data,not enough data,wasim,maharashtra
mumbai-fruit market,jambhul,not enough data,not enough data,not enough data,not enough data,mumbai,maharashtra
sonpeth,soybean,multiplicative,multiplicative,multiplicative,multiplicative,parbhani,maharashtra
malegaon (washim),black gram,not enough data,not enough data,not enough data,not enough data,wasim,maharashtra
armori,ground nut pods (dry),multiplicative,not enough data,not enough data,not enough data,gadchiroli,maharashtra
sangali,lentil,multiplicative,multiplicative,multiplicative,multiplicative,sangli,maharashtra
kolhapur-malkapur,brinjal,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
vaijapur,black gram,not enough data,not enough data,not enough data,not enough data,aurangabad,maharashtra
barshi-vairag,matki,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
barshi,carrot,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
rahuri,custard apple,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
osmanabad,onion,multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
junnar-otur,garlic,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
jalna-badnapur,gram,not enough data,not enough data,multiplicative,multiplicative,jalna,maharashtra
tasgaon,wheat(husked),not enough data,not enough data,not enough data,not enough data,sangli,maharashtra
osmanabad,sesamum,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
vai,math (bhaji),not enough data,not enough data,not enough data,not enough data,satara,maharashtra
palus,goats,not enough data,not enough data,not enough data,not enough data,sangli,maharashtra
rahuri-songaon,capsicum,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
wardha,soybean,multiplicative,multiplicative,multiplicative,multiplicative,wardha,maharashtra
kalyan,coriander (dry),multiplicative,not enough data,not enough data,not enough data,thane,maharashtra
pavani,gram,not enough data,not enough data,not enough data,not enough data,bhandara,maharashtra
shrirampur,black gram,not enough data,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
jalgaon,bor,not enough data,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
vai,sweet potato,not enough data,not enough data,not enough data,not enough data,satara,maharashtra
katol,ground nut pods (dry),multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
mandhal,linseed,multiplicative,not enough data,not enough data,not enough data,nagpur,maharashtra
parli-vaijnath,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
basmat,sunflower,not enough data,not enough data,not enough data,not enough data,hingoli,maharashtra
mahur,black gram,not enough data,not enough data,not enough data,not enough data,nanded,maharashtra
mandhal,soybean,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
mandhal,gram,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
kalyan,bajri,multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
pune,pavtta,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
umari,sorgum(jawar),multiplicative,not enough data,not enough data,not enough data,nanded,maharashtra
jalgaon,black gram,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
hinganghat,green gram,not enough data,multiplicative,multiplicative,multiplicative,wardha,maharashtra
bori,safflower,not enough data,not enough data,not enough data,not enough data,parbhani,maharashtra
palus,ginger (fresh),not enough data,multiplicative,multiplicative,multiplicative,sangli,maharashtra
lonand,onion,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
chandrapur,bor,not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
dondaicha-sindkheda,soybean,not enough data,not enough data,not enough data,not enough data,dhule,maharashtra
nandura,onion,multiplicative,not enough data,not enough data,not enough data,buldhana,maharashtra
mangalwedha,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
shegaon,gram,multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
ulhasnagar,wheat(husked),not enough data,not enough data,not enough data,not enough data,thane,maharashtra
kalyan,squash gourd,not enough data,not enough data,not enough data,not enough data,thane,maharashtra
ahmednagar,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
varud-rajura bazar,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
palus,tomato,not enough data,multiplicative,multiplicative,multiplicative,sangli,maharashtra
mangrulpeer,green gram,multiplicative,multiplicative,multiplicative,multiplicative,wasim,maharashtra
nandura,sesamum,multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
chandrapur,squash gourd,not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
barshi,wheat(unhusked),multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
shegaon,green gram,multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
ramtek,mustard,multiplicative,not enough data,not enough data,not enough data,nagpur,maharashtra
brahmpuri,paddy-unhusked,multiplicative,multiplicative,multiplicative,multiplicative,chandrapur,maharashtra
lakhandur,mustard,not enough data,not enough data,not enough data,not enough data,bhandara,maharashtra
pune,gram,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
digras,rice(paddy-hus),not enough data,not enough data,not enough data,not enough data,yewatmal,maharashtra
navapur,wal papdi,not enough data,not enough data,not enough data,not enough data,nandurbar,maharashtra
sindkhed raja,sorgum(jawar),multiplicative,not enough data,not enough data,not enough data,buldhana,maharashtra
mahad,paddy-unhusked,multiplicative,not enough data,not enough data,not enough data,raigad,maharashtra
chalisgaon,potato,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
pune-moshi,pavtta,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
newasa,green gram,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
mumbai,green chilli,multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
rahuri,guava,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
hadgaon,cotton,not enough data,not enough data,not enough data,not enough data,nanded,maharashtra
tumsar,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,bhandara,maharashtra
kada,cowpea,not enough data,not enough data,not enough data,not enough data,beed,maharashtra
dudhani,bajri,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
khamgaon,gram,multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
shrirampur,flower,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
osmanabad,maize,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
khed-chakan,carrot,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
nagpur,mosambi,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
rahuri-songaon,bajri,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
pune-pimpri,brinjal,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
jintur,turmeric,multiplicative,multiplicative,multiplicative,multiplicative,parbhani,maharashtra
shirpur,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,dhule,maharashtra
aurangabad,maize(corn.),multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
chandrapur,garlic,not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
nashik,bor,multiplicative,not enough data,not enough data,not enough data,nasik,maharashtra
karad,pavata,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
achalpur,tamarind seed,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
tumsar,linseed,multiplicative,multiplicative,multiplicative,multiplicative,bhandara,maharashtra
indapur-bhigwan,coriander (dry),not enough data,not enough data,not enough data,not enough data,pune,maharashtra
mangalwedha,matki,additive,not enough data,not enough data,not enough data,solapur,maharashtra
satana,black gram,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
parli-vaijnath,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
barshi,matki,not enough data,multiplicative,multiplicative,multiplicative,solapur,maharashtra
pune-manjri,kardai,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
satana,ground nut pods (dry),multiplicative,not enough data,multiplicative,multiplicative,nasik,maharashtra
rahata,papai,multiplicative,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
kurdwadi,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
paranda,green gram,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
dound,pigeon pea (tur),not enough data,multiplicative,multiplicative,multiplicative,pune,maharashtra
sangli-phale bhajipalam,garlic,multiplicative,multiplicative,multiplicative,multiplicative,sangli,maharashtra
ghatanji,soybean,multiplicative,multiplicative,multiplicative,multiplicative,yewatmal,maharashtra
pune,small gourd,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
kolhapur,shevga,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
pune,lentil,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
barshi,spinach,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
umari,pigeon pea (tur),not enough data,not enough data,multiplicative,multiplicative,nanded,maharashtra
mangalwedha,green chilli,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
vaijapur,horse gram,not enough data,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
kolhapur,carrot,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
pachora,soybean,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
aurad shahajani,sorgum(jawar),not enough data,multiplicative,multiplicative,multiplicative,latur,maharashtra
ratanagari,sweet potato,multiplicative,multiplicative,multiplicative,multiplicative,ratnagiri,maharashtra
nagpur,cucumber,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
varora,soybean,multiplicative,multiplicative,multiplicative,multiplicative,chandrapur,maharashtra
taloda,black gram,not enough data,not enough data,not enough data,not enough data,nandurbar,maharashtra
nandurbar,chillies(red),multiplicative,multiplicative,multiplicative,multiplicative,nandurbar,maharashtra
umarga,coriander (dry),not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
kada (ashti),wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
buldhana-dhad,soybean,multiplicative,not enough data,not enough data,not enough data,buldhana,maharashtra
kamthi,carrot,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
shrirampur,green gram,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
ausa,soybean,multiplicative,multiplicative,multiplicative,multiplicative,latur,maharashtra
solapur,chillies(red),multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
ashti (jalna),pigeon pea (tur),not enough data,not enough data,not enough data,not enough data,jalna,maharashtra
jalgaon,tomato,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
shirpur,matki,multiplicative,multiplicative,multiplicative,multiplicative,dhule,maharashtra
pune-moshi,parwar,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
sonpeth,gram,multiplicative,multiplicative,multiplicative,multiplicative,parbhani,maharashtra
murum,black gram,multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
risod,black gram,multiplicative,not enough data,not enough data,not enough data,wasim,maharashtra
nashik,garlic,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
sangamner,onion,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
amarawati,pumpkin,multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
akluj,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
manora,black gram,not enough data,not enough data,not enough data,not enough data,wasim,maharashtra
barshi-vairag,sunflower,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
naigaon,cotton,multiplicative,not enough data,not enough data,not enough data,nanded,maharashtra
bhusaval,cotton,not enough data,not enough data,not enough data,not enough data,jalgaon,maharashtra
chandrapur,indian bean,not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
bhivandi,rice(paddy-hus),multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
sillod,bajri,multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
khed (shel pimpalgaon),cluster bean,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
ashti (jalna),soybean,not enough data,not enough data,not enough data,not enough data,jalna,maharashtra
pune-pimpri,jaggery,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
yeola,green gram,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
umarga,sesamum,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
